[2018-04-19T18:19:15.328] [INFO] app - 正在启动项目 模式: build
[2018-04-19T18:19:15.531] [INFO] app - 连接数据库 [mysql -h 127.0.0.1 -u root -D gdtv_cms]
[2018-04-19T18:19:15.627] [INFO] app - 注册 Helper [moment]
[2018-04-19T18:19:15.628] [INFO] app - 注册 Helper [async]
[2018-04-19T18:19:15.636] [INFO] app - 注册 Helper [lodash]
[2018-04-19T18:19:15.641] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-19T18:19:15.641] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-19T18:19:15.641] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-19T18:19:15.642] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-19T18:19:15.643] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-19T18:19:15.687] [INFO] app - 注册 Middleware [heiner_static]
[2018-04-19T18:19:15.692] [INFO] app - 注册 Middleware [heiner_query]
[2018-04-19T18:19:15.737] [INFO] app - 注册 Middleware [heiner_body]
[2018-04-19T18:19:15.775] [INFO] app - 注册 Middleware [heiner_view]
[2018-04-19T18:19:15.776] [INFO] app - 注册 Middleware [Crossdomain]
[2018-04-19T18:19:15.780] [INFO] app - 注册 Controller [api.api]
[2018-04-19T18:19:15.781] [INFO] app - 注册 Controller [articleinfo.articleinfo]
[2018-04-19T18:19:15.785] [INFO] app - 注册 Controller [describe.describe]
[2018-04-19T18:19:15.787] [INFO] app - 注册 Controller [home]
[2018-04-19T18:19:15.789] [INFO] app - 注册 Controller [presetproduct.presetproduct]
[2018-04-19T18:19:15.791] [INFO] app - 注册 Controller [productlist.productlist]
[2018-04-19T18:19:15.794] [INFO] app - 注册 Controller [public.public]
[2018-04-19T18:19:16.135] [INFO] app - 注册 Controller [server.server]
[2018-04-19T18:19:16.531] [INFO] app - 注册 Controller [shophome.shophome]
[2018-04-19T18:19:16.593] [INFO] app - 注册 Router [api]
[2018-04-19T18:19:16.596] [INFO] app - 注册 Router [articleinfo]
[2018-04-19T18:19:16.600] [INFO] app - 注册 Router [describe]
[2018-04-19T18:19:16.603] [INFO] app - 注册 Router [index]
[2018-04-19T18:19:16.605] [INFO] app - 注册 Router [presetproduct]
[2018-04-19T18:19:16.609] [INFO] app - 注册 Router [public]
[2018-04-19T18:19:16.613] [INFO] app - 注册 Router [server]
[2018-04-19T18:19:16.622] [INFO] app - 注册 Router [shophome]
[2018-04-19T18:19:16.638] [INFO] app - 启动项目成功 端口：3000
